,pmid,date
773,32241928,NA
774,32241901,2020-04-02
775,32241899,2020-04-02
776,32241897,2020-04-02
777,32241884,2020-04-02
778,32241880,2020-04-02
779,32241828,2020-04-02
780,32241815,2020-04-02
781,32241814,2020-04-01
782,32241813,2020-04-02
783,32241811,2020-04-02
784,32241801,2020-04-02
785,32241793,2020-04-02
786,32241792,2020-04-02
787,32241791,2020-04-02
788,32241778,2020-04-02
789,32241766,2020-04-02
790,32241762,2020-04-02
791,32241761,2020-04-02
792,32241756,2020-04-02
793,32241695,2020-03-26
794,32241685,2020-03-12
795,32241653,2020-03-30
796,32241630,2020-03-24
797,32241520,NA
798,32241328,2020-04-03
799,32241325,2020-04-03
800,32241316,2020-04-03
801,32241313,2020-04-03
802,32241308,2020-04-03
803,32241306,2020-04-03
804,32241301,2020-04-02
805,32241244,2020-04-02
806,32241193,2020-04-03
807,32241097,2020-03-30
808,32241075,2020-04-02
809,32241074,2020-04-02
810,32241073,2020-04-02
811,32241072,2020-04-03
812,32241071,2020-04-03
813,32241067,2020-04-03
814,32241065,2020-04-03
815,32241064,2020-04-03
816,32241056,NA
817,32241023,2020-04-02
818,32241022,2020-04-02
819,32240973,2020-04-07
820,32240972,2020-04-06
821,32240961,2020-03-25
822,32240958,2020-03-20
823,32240913,2020-03-24
824,32240896,2020-03-16
825,32240876,2020-03-26
826,32240830,2020-03-30
827,32240770,2020-03-30
828,32240766,2020-03-30
829,32240764,2020-03-30
830,32240762,2020-03-30
831,32240756,2020-03-31
832,32240755,2020-03-30
833,32240754,2020-03-30
834,32240751,2020-03-30
835,32240718,2020-03-31
836,32240670,2020-03-30
837,32240634,2020-03-30
838,32240630,2020-03-30
839,32240625,2020-03-30
840,32240618,2020-03-30
841,32240603,NA
842,32240582,2020-04-02
843,32240581,2020-04-02
844,32240580,2020-04-02
845,32240567,2020-04-02
846,32240549,2020-04-02
847,32240545,2020-04-02
848,32240543,2020-04-02
849,32240537,2020-04-02
850,32240519,2020-04-02
851,32240484,2020-04-02
852,32240462,2020-04-02
853,32240303,2020-04-02
854,32240293,2020-04-02
855,32240291,2020-04-02
856,32240285,2020-04-02
857,32240283,2020-04-02
858,32240282,2020-04-02
859,32240279,2020-04-02
860,32240128,2020-04-03
861,32240123,2020-04-03
862,32240096,2020-04-02
863,32240095,2020-04-02
864,32240094,2020-04-02
865,32240079,2020-04-02
866,32240078,2020-04-02
867,32239972,2020-04-02
868,32239800,2020-04-02
869,32239799,2020-04-02
870,32239796,2020-04-02
871,32239784,2020-04-02
872,32239761,2020-04-02
873,32239757,2020-04-02
874,32239747,2020-04-02
875,32239736,2020-04-02
876,32239628,2020-04-01
877,32239591,2020-04-02
878,32239590,2020-04-01
879,32239587,2020-04-01
880,32239578,2020-04-01
881,32239532,2020-04-01
882,32239525,2020-04-01
883,32239522,2020-04-01
884,32239515,2020-04-01
885,32239514,2020-04-01
886,32239511,2020-04-01
887,32239472,2020-04-01
888,32239459,2020-04-01
889,32239446,2020-04-01
890,32239445,2020-04-01
891,32239278,2020-04-01
892,32239256,2020-04-01
893,32239213,2020-04-02
894,32239184,2020-04-02
